barcode_fieldsample;CORRECTED_barcode_fieldsample;type_sample;latitude;longitude;habitattype;sampling_date;hab_code;hab_name
MDF06762;MDF06762;Soil;55.704087;11.843488;natural_soil;17-05-2022;7230;Rigkær
MFD06060;MFD06060;soil;56.29307556;8.13821859;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06061;MFD06061;soil;56.2944976;8.131583335;natural_soil;2022-02-14T00:00:00Z;2190;Klitlavning
MFD06062;MFD06062;soil;56.29625547;8.13446005;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06063;MFD06063;soil;56.30589955;8.15664361;natural_soil;2022-02-16T00:00:00Z;9100;Skov
MFD06064;MFD06064;soil;56.29978025;8.14093312;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06065;MFD06065;soil;56.30563317;8.15337025;natural_soil;2022-02-16T00:00:00Z;9100;Skov
MFD06066;MFD06066;soil;56.29304167;8.13886239;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06067;MFD06067;soil;56.29860817;8.13243228;natural_soil;2022-02-15T00:00:00Z;2190;Klitlavning
MFD06068;MFD06068;soil;56.29510659;8.15293179;natural_soil;2022-02-15T00:00:00Z;9100;Skov
MFD06069;MFD06069;soil;56.29362618;8.13215175;natural_soil;2022-02-14T00:00:00Z;2190;Klitlavning
MFD06070;MFD06070;soil;56.29919778;8.14557333;natural_soil;2022-02-15T00:00:00Z;2130;Grå/grøn klit
MFD06071;MFD06071;soil;56.29396353;8.14283024;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06072;MFD06072;soil;56.29401135;8.14218461;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06073;MFD06073;soil;56.31124107;8.15906148;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06074;MFD06074;soil;56.29653153;8.13945774;natural_soil;2022-02-15T00:00:00Z;2140;Klithede
MFD06075;MFD06075;soil;56.3054498;8.16053912;natural_soil;2022-02-16T00:00:00Z;9100;Skov
MFD06076;MFD06076;soil;56.30157858;8.13930687;natural_soil;2022-02-16T00:00:00Z;9100;Skov
MFD06077;MFD06077;soil;56.29499621;8.1312297;natural_soil;2022-02-14T00:00:00Z;2190;Klitlavning
MFD06078;MFD06078;soil;56.25509374;8.478552455;natural_soil;2022-03-15T00:00:00Z;91D0;Skovbevokset tørvemose
MFD06079;MFD06079;soil;56.29334055;8.13490032;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06080;MFD06080;soil;56.29537648;8.12922384;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06081;MFD06081;soil;56.29297789;8.13492327;natural_soil;2022-02-14T00:00:00Z;2140;Klithede
MFD06082;MFD06082;soil;56.30774135;8.15387307;natural_soil;2022-02-16T00:00:00Z;2;ikke habitatnatur
MFD06083;MFD06083;soil;56.29497604;8.14640273;natural_soil;2022-02-15T00:00:00Z;2190;Klitlavning
