sample_name	accession
MFD01144	SAMN39866084
MFD01145	SAMN39866085
MFD01146	SAMN39866086
MFD01147	SAMN39866087
MFD01148	SAMN39866088
MFD01149	SAMN39866089
MFD01150	SAMN39866090
MFD01151	SAMN39866091
MFD01152	SAMN39866092
MFD01153	SAMN39866093
MFD01154	SAMN39866094
MFD01155	SAMN39866095
MFD01156	SAMN39866096
MFD01157	SAMN39866097
MFD01158	SAMN39866098
MFD01159	SAMN39866099
MFD01160	SAMN39866100
MFD01161	SAMN39866101
MFD01163	SAMN39866102
MFD01165	SAMN39866103
MFD01166	SAMN39866104
MFD01167	SAMN39866105
MFD01169	SAMN39866106
MFD01171	SAMN39866107
MFD01172	SAMN39866108
MFD01174	SAMN39866109
MFD01175	SAMN39866110
MFD01176	SAMN39866111
MFD01177	SAMN39866112
MFD01179	SAMN39866113
MFD01180	SAMN39866114
MFD01181	SAMN39866115
MFD01182	SAMN39866116
MFD01183	SAMN39866117
MFD01184	SAMN39866118
MFD01185	SAMN39866119
MFD01186	SAMN39866120
MFD01187	SAMN39866121
MFD01188	SAMN39866122
MFD01189	SAMN39866123
MFD01190	SAMN39866124
MFD01191	SAMN39866125
MFD01192	SAMN39866126
MFD01193	SAMN39866127
MFD01194	SAMN39866128
MFD01195	SAMN39866129
MFD01196	SAMN39866130
MFD01197	SAMN39866131
MFD01198	SAMN39866132
MFD01199	SAMN39866133
MFD01200	SAMN39866134
MFD01201	SAMN39866135
MFD01202	SAMN39866136
MFD01203	SAMN39866137
MFD01204	SAMN39866138
MFD01205	SAMN39866139
MFD01206	SAMN39866140
MFD01207	SAMN39866141
MFD01208	SAMN39866142
MFD01209	SAMN39866143
MFD01210	SAMN39866144
MFD01212	SAMN39866145
MFD01213	SAMN39866146
MFD01214	SAMN39866147
MFD01215	SAMN39866148
MFD01216	SAMN39866149
MFD01217	SAMN39866150
MFD01219	SAMN39866151
MFD01221	SAMN39866152
MFD01222	SAMN39866153
MFD01223	SAMN39866154
MFD01224	SAMN39866155
MFD01225	SAMN39866156
MFD01226	SAMN39866157
