fieldsample_barcode	BioProject	BioSample	Metagenome	Metagenome_assembly	EUK_operon	BAC_operon	UMI_16SrRNA
MFD00001	PRJNA1071982	SAMN39864933	SRX23599598	MFD00001.fa			
MFD00002	PRJNA1071982	SAMN39864934	SRX23599599	MFD00002.fa			
MFD00003	PRJNA1071982	SAMN39864935	SRX23600276	MFD00003.fa			
MFD00004	PRJNA1071982	SAMN39864936	SRX23599633	MFD00004.fa			
MFD00005	PRJNA1071982	SAMN39864937	SRX23600014	MFD00005.fa			
MFD00006	PRJNA1071982	SAMN39864938	SRX23600062	MFD00006.fa			
MFD00007	PRJNA1071982	SAMN39864939	SRX23599812	MFD00007.fa			
MFD00008	PRJNA1071982	SAMN39864940	SRX23600376	MFD00008.fa			
MFD00009	PRJNA1071982	SAMN39864941	SRX23600401	MFD00009.fa			
MFD00010	PRJNA1071982	SAMN39864942	SRX23600212	MFD00010.fa			
MFD00011	PRJNA1071982	SAMN39864943	SRX23599600	MFD00011.fa			
MFD00012	PRJNA1071982	SAMN39864944	SRX23599611	MFD00012.fa			
MFD00013	PRJNA1071982	SAMN39864945	SRX23599622	MFD00013.fa			
MFD00014	PRJNA1071982	SAMN39864946	SRX23600231	MFD00014.fa			
MFD00015	PRJNA1071982	SAMN39864947	SRX23600242	MFD00015.fa			
MFD00016	PRJNA1071982	SAMN39864948	SRX23600253	MFD00016.fa			
MFD00017	PRJNA1071982	SAMN39864949	SRX23600447	MFD00017.fa			
MFD00018	PRJNA1071982	SAMN39864950	SRX23600458	MFD00018.fa			
MFD00019	PRJNA1071982	SAMN39864951	SRX23600469	MFD00019.fa			
MFD00020	PRJNA1071982	SAMN39864952	SRX23600265	MFD00020.fa			
MFD00021	PRJNA1071982	SAMN39864953	SRX23600277	MFD00021.fa			
MFD00022	PRJNA1071982	SAMN39864954	SRX23600288	MFD00022.fa			
MFD00023	PRJNA1071982	SAMN39864955	SRX23600482	MFD00023.fa			
MFD00024	PRJNA1071982	SAMN39864956	SRX23599900	MFD00024.fa			
MFD00025	PRJNA1071982	SAMN39864957	SRX23600290	MFD00025.fa			
MFD00026	PRJNA1071982	SAMN39864958	SRX23600301	MFD00026.fa			
MFD00027	PRJNA1071982	SAMN39864959	SRX23600312	MFD00027.fa			
MFD00028	PRJNA1071982	SAMN39864960	SRX23599912	MFD00028.fa			
MFD00029	PRJNA1071982	SAMN39864961	SRX23599923	MFD00029.fa			
MFD00030	PRJNA1071982	SAMN39864962	SRX23599934	MFD00030.fa			
MFD00031	PRJNA1071982	SAMN39864963	SRX23599634	MFD00031.fa			
MFD00032	PRJNA1071982	SAMN39864964	SRX23599645	MFD00032.fa			
MFD00033	PRJNA1071982	SAMN39864965	SRX23599656	MFD00033.fa			
MFD00034	PRJNA1071982	SAMN39864966	SRX23600326	MFD00034.fa			
MFD00035	PRJNA1071982	SAMN39864967	SRX23600337	MFD00035.fa			
MFD00036	PRJNA1071982	SAMN39864968	SRX23600348	MFD00036.fa			
MFD00037	PRJNA1071982	SAMN39864969	SRX23599668	MFD00037.fa			
MFD00038	PRJNA1071982	SAMN39864970	SRX23599679	MFD00038.fa			
MFD00039	PRJNA1071982	SAMN39864971	SRX23599690	MFD00039.fa			
MFD00040	PRJNA1071982	SAMN39864972	SRX23600003	MFD00040.fa			
MFD00041	PRJNA1071982	SAMN39864973	SRX23600015	MFD00041.fa			
MFD00042	PRJNA1071982	SAMN39864974	SRX23600026	MFD00042.fa			
MFD00044	PRJNA1071982	SAMN39864975	SRX23599703	MFD00044.fa			
MFD00045	PRJNA1071982	SAMN39864976	SRX23599714	MFD00045.fa			
MFD00046	PRJNA1071982	SAMN39864977	SRX23600027	MFD00046.fa			
MFD00048	PRJNA1071982	SAMN39864978	SRX23600038	MFD00048.fa			
MFD00049	PRJNA1071982	SAMN39864979	SRX23600049	MFD00049.fa			
MFD00050	PRJNA1071982	SAMN39864980	SRX23599726	MFD00050.fa			
MFD00051	PRJNA1071982	SAMN39864981	SRX23599737	MFD00051.fa			
MFD00052	PRJNA1071982	SAMN39864982	SRX23599748	MFD00052.fa			
MFD00053	PRJNA1071982	SAMN39864983	SRX23600063	MFD00053.fa			
MFD00054	PRJNA1071982	SAMN39864984	SRX23600074	MFD00054.fa			
MFD00055	PRJNA1071982	SAMN39864985	SRX23600085	MFD00055.fa			
MFD00056	PRJNA1071982	SAMN39864986	SRX23599762	MFD00056.fa			
MFD00057	PRJNA1071982	SAMN39864987	SRX23599773	MFD00057.fa			
MFD00058	PRJNA1071982	SAMN39864988	SRX23599784	MFD00058.fa			
MFD00059	PRJNA1071982	SAMN39864989	SRX23600100	MFD00059.fa			
MFD00060	PRJNA1071982	SAMN39864990	SRX23600111	MFD00060.fa			
MFD00061	PRJNA1071982	SAMN39864991	SRX23599790	MFD00061.fa			
MFD00062	PRJNA1071982	SAMN39864992	SRX23599801	MFD00062.fa			
MFD00063	PRJNA1071982	SAMN39864993	SRX23599813	MFD00063.fa			
MFD00064	PRJNA1071982	SAMN39864994	SRX23600127	MFD00064.fa			
MFD00065	PRJNA1071982	SAMN39864995	SRX23600138	MFD00065.fa			
MFD00066	PRJNA1071982	SAMN39864996	SRX23599817	MFD00066.fa			
MFD00067	PRJNA1071982	SAMN39864997	SRX23599828	MFD00067.fa			
MFD00068	PRJNA1071982	SAMN39864998	SRX23599839	MFD00068.fa			
MFD00069	PRJNA1071982	SAMN39864999	SRX23600152	MFD00069.fa			
MFD00070	PRJNA1071982	SAMN39865000	SRX23600163	MFD00070.fa			
MFD00071	PRJNA1071982	SAMN39865001	SRX23600354	MFD00071.fa			
MFD00072	PRJNA1071982	SAMN39865002	SRX23600365	MFD00072.fa			
MFD00073	PRJNA1071982	SAMN39865003	SRX23600377	MFD00073.fa			
MFD00074	PRJNA1071982	SAMN39865004	SRX23599850	MFD00074.fa			
MFD00075	PRJNA1071982	SAMN39865005	SRX23599861	MFD00075.fa			
MFD00076	PRJNA1071982	SAMN39865006	SRX23599872	MFD00076.fa			
MFD00077	PRJNA1071982	SAMN39865007	SRX23599952	MFD00077.fa			
MFD00078	PRJNA1071982	SAMN39865008	SRX23599963	MFD00078.fa			
MFD00079	PRJNA1071982	SAMN39865009	SRX23600177	MFD00079.fa			
MFD00080	PRJNA1071982	SAMN39865010	SRX23600188	MFD00080.fa			
MFD00081	PRJNA1071982	SAMN39865011	SRX23600496	MFD00081.fa			
MFD00082	PRJNA1071982	SAMN39865012	SRX23600390	MFD00082.fa			
MFD00083	PRJNA1071982	SAMN39865013	SRX23600402	MFD00083.fa			
MFD00084	PRJNA1071982	SAMN39865014	SRX23599875	MFD00084.fa			
MFD00085	PRJNA1071982	SAMN39865015	SRX23599886	MFD00085.fa			
MFD00086	PRJNA1071982	SAMN39865016	SRX23600193	MFD00086.fa			
MFD00087	PRJNA1071982	SAMN39865017	SRX23600504	MFD00087.fa			
MFD00088	PRJNA1071982	SAMN39865018	SRX23600515	MFD00088.fa			
MFD00089	PRJNA1071982	SAMN39865019	SRX23600526	MFD00089.fa			
MFD00090	PRJNA1071982	SAMN39865020	SRX23600420	MFD00090.fa			
MFD00091	PRJNA1071982	SAMN39865021	SRX23600431	MFD00091.fa			
MFD00092	PRJNA1071982	SAMN39865022	SRX23600201	MFD00092.fa			
MFD00093	PRJNA1071982	SAMN39865023	SRX23600213	MFD00093.fa			
MFD00094	PRJNA1071982	SAMN39865024	SRX23600224	MFD00094.fa			
MFD00095	PRJNA1071982	SAMN39865025	SRX23599977	MFD00095.fa			
MFD00096	PRJNA1071982	SAMN39865026	SRX23599988	MFD00096.fa			
MFD00097	PRJNA1071982	SAMN39865027	SRX23599989	MFD00097.fa	SRX23627392	SRX23627391	SRX23662427
MFD00098	PRJNA1071982	SAMN39865028	SRX23599990	MFD00098.fa			
MFD00099	PRJNA1071982	SAMN39865029	SRX23599991	MFD00099.fa			
MFD00100	PRJNA1071982	SAMN39865030	SRX23599992	MFD00100.fa			
MFD00101	PRJNA1071982	SAMN39865031	SRX23599993	MFD00101.fa			
MFD00102	PRJNA1071982	SAMN39865032	SRX23599994	MFD00102.fa			
MFD00103	PRJNA1071982	SAMN39865033	SRX23599601	MFD00103.fa			
MFD00104	PRJNA1071982	SAMN39865034	SRX23599602	MFD00104.fa			
MFD00105	PRJNA1071982	SAMN39865035	SRX23599603	MFD00105.fa			
MFD00106	PRJNA1071982	SAMN39865036	SRX23599604	MFD00106.fa	SRX23627454	SRX23627891	SRX23662428
MFD00107	PRJNA1071982	SAMN39865037	SRX23599605	MFD00107.fa			
MFD00108	PRJNA1071982	SAMN39865038	SRX23599606	MFD00108.fa			
MFD00109	PRJNA1071982	SAMN39865039	SRX23599607	MFD00109.fa			
MFD00110	PRJNA1071982	SAMN39865040	SRX23599608	MFD00110.fa			
MFD00111	PRJNA1071982	SAMN39865041	SRX23599609	MFD00111.fa			
MFD00112	PRJNA1071982	SAMN39865042	SRX23599610	MFD00112.fa			
MFD00113	PRJNA1071982	SAMN39865043	SRX23599612	MFD00113.fa			
MFD00114	PRJNA1071982	SAMN39865044	SRX23599613	MFD00114.fa			
MFD00115	PRJNA1071982	SAMN39865045	SRX23599614	MFD00115.fa			
MFD00116	PRJNA1071982	SAMN39865046	SRX23599615	MFD00116.fa	SRX23627484	SRX23627729	SRX23662599
MFD00117	PRJNA1071982	SAMN39865047	SRX23599616	MFD00117.fa			
MFD00118	PRJNA1071982	SAMN39865048	SRX23599617	MFD00118.fa			
MFD00119	PRJNA1071982	SAMN39865049	SRX23599618	MFD00119.fa			
MFD00120	PRJNA1071982	SAMN39865050	SRX23599619	MFD00120.fa			
MFD00121	PRJNA1071982	SAMN39865051	SRX23599620	MFD00121.fa			
MFD00122	PRJNA1071982	SAMN39865052	SRX23599621	MFD00122.fa			
MFD00123	PRJNA1071982	SAMN39865053	SRX23599623	MFD00123.fa			
MFD00124	PRJNA1071982	SAMN39865054	SRX23599624	MFD00124.fa			
MFD00125	PRJNA1071982	SAMN39865055	SRX23599625	MFD00125.fa			
MFD00126	PRJNA1071982	SAMN39865056	SRX23599626	MFD00126.fa			
MFD00127	PRJNA1071982	SAMN39865057	SRX23599627	MFD00127.fa			
MFD00128	PRJNA1071982	SAMN39865058	SRX23599628	MFD00128.fa			
MFD00129	PRJNA1071982	SAMN39865059	SRX23599629	MFD00129.fa			
MFD00130	PRJNA1071982	SAMN39865060	SRX23600228	MFD00130.fa			
MFD00131	PRJNA1071982	SAMN39865061	SRX23600229	MFD00131.fa			
MFD00132	PRJNA1071982	SAMN39865062	SRX23600230	MFD00132.fa			
