fieldsample_barcode	sampling_method	cell.10km_representative	extraction_method	extraction_id1	extraction_id2	extractionplate_id1	extractionplate_id2	extraction_row1	extraction_row2	extraction_col1	extraction_col2	extraction_conc1	extraction_conc2	library_method	library_id1	library_id2	libraryplate_id1	libraryplate_id2	library_row1	library_row2	library_col1	library_col2	library_conc1	library_conc2	sequencing_method	sequencing_id1	sequencing_id2	internal_name	before_total_reads	after_total_reads	passed_filter_reads	corrected_reads	low_quality_reads	too_many_N_reads	too_short_reads	too_long_reads	before_total_bases	before_q20_bases	before_q30_bases	after_total_bases	after_q20_bases	after_q30_bases	corrected_bases	before_read1_mean_length	before_read2_mean_length	after_read1_mean_length	after_read2_mean_length	before_q20_rate	before_q30_rate	after_q20_rate	after_q30_rate	duplication_rate	before_gc_content	after_gc_content	peak_length
MFD00001	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ019-D8	EXT-MJ397-E10	EXT00001	REPREP7	D	E	8	10	19.33	19.38	ILLUMINA-DNA-PREP.V2	LIB-MJ050-D8	LIB-MJ408-E10	LIB00001	REPREP7	D	E	8	10	5.71135	1.8	Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ050-D8_02	LIB-MJ408-E10_04	LIB-MJ050-D8_02_v_LIB-MJ408-E10_04.fastq.gz	47583208	24076654	25123274	699347	5393712	22	17066200	0	7185064408	6558839728	5969832137	3566731721	3464974688	3256478961	952419	151	151	149	146	0.9	0.8	1	0.9	0	0.6	0.6	151
MFD00002	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ019-D9		EXT00001		D		9		10.92		ILLUMINA-DNA-PREP.V2	LIB-MJ050-D9		LIB00001		D		9		5.09736		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ050-D9_02		LIB-MJ050-D9_02.fastq.gz	21411228	16338954	19091988	108572	355726	28	1963486	0	3233095428	3144723864	3002984151	2446494079	2413263181	2325699653	137732	151	151	149	149	1	0.9	1	1	0.1	0.6	0.6	151
MFD00003	MFD-SOIL	Yes	PowerSoil-Pro-HT	EXT-MJ040-A2		EXT00005		A		2		17.25		ILLUMINA-DNA-PREP.V2	LIB-MJ048-A2		LIB00005		A		2		5.05861		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ048-A2_04		LIB-MJ048-A2_04.fastq.gz	33456032	25092472	30682134	265511	368208	50	2405640	0	5051860832	4957996466	4801414374	3750842033	3718262517	3624563912	328350	151	151	149	149	1	1	1	1	0.2	0.6	0.6	261
MFD00004	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ019-E3		EXT00001		E		3		44.92		ILLUMINA-DNA-PREP.V2	LIB-MJ050-E3		LIB00001		E		3		5.10989		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ050-E3_02		LIB-MJ050-E3_02.fastq.gz	34434230	24932064	29742490	552808	269566	20	4422154	0	5199568730	5092988199	4948598583	3605014595	3582762595	3512093554	669777	151	151	144	144	1	1	1	1	0.1	0.6	0.6	151
MFD00005	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ038-D2		EXT00003		D		2		3.16		ILLUMINA-DNA-PREP.V2	LIB-MJ044-D2		LIB00003		D		2		2.24504		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ044-D2_03		LIB-MJ044-D2_03.fastq.gz	35542256	25648756	30278684	722593	338884	42	4924646	0	5366880656	5244690156	5076686088	3725662936	3697135793	3611010376	898829	151	151	145	145	1	0.9	1	1	0.1	0.6	0.6	151
MFD00006	MFD-SOIL	Yes	PowerSoil-Pro-HT	EXT-MJ019-E10		EXT00001		E		10		36.69		ILLUMINA-DNA-PREP.V2	LIB-MJ050-E10		LIB00001		E		10		4.75152		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ050-E10_02		LIB-MJ050-E10_02.fastq.gz	34310396	25446350	29991412	600208	289876	20	4029088	0	5180869796	5087995331	4942166240	3694406614	3669476507	3591332145	732339	151	151	145	145	1	1	1	1	0.1	0.6	0.6	151
MFD00007	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ019-A12		EXT00001		A		12		1.55		ILLUMINA-DNA-PREP.V2	LIB-MJ050-A12		LIB00001		A		12		4.2904		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ050-A12_02		LIB-MJ050-A12_02.fastq.gz	42551142	29967430	35967468	764311	350756	28	6232890	0	6425222442	6281163635	6085967327	4307137089	4278773373	4187480760	932524	151	151	143	143	1	0.9	1	1	0.1	0.6	0.6	151
MFD00008	MFD-SOIL	Yes	PowerSoil-Pro-HT	EXT-MJ019-B8		EXT00001		B		8		24.37		ILLUMINA-DNA-PREP.V2	LIB-MJ050-B8		LIB00001		B		8		5.58103		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ050-B8_02		LIB-MJ050-B8_02.fastq.gz	36024874	26560908	31580300	603423	273616	16	4170942	0	5439755974	5334300908	5184524464	3854942771	3830542076	3753483308	739170	151	151	145	145	1	1	1	1	0.1	0.6	0.6	151
MFD00009	MFD-SOIL	Yes	PowerSoil-Pro-HT	EXT-MJ019-A1		EXT00001		A		1		55.67		ILLUMINA-DNA-PREP.V2	LIB-MJ050-A1		LIB00001		A		1		5.87675		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ050-A1_02		LIB-MJ050-A1_02.fastq.gz	32650202	23505838	28697320	521503	279174	14	3673694	0	4930180502	4836789458	4702236407	3414310986	3392474185	3324542100	630944	151	151	145	145	1	1	1	1	0.2	0.6	0.6	151
MFD00010	MFD-SOIL	Yes	PowerSoil-Pro-HT	EXT-MJ037-H6		EXT00002		H		6		1.26		ILLUMINA-DNA-PREP.V2	LIB-MJ051-H6		LIB00002		H		6		0.89537		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ051-H6_02		LIB-MJ051-H6_02.fastq.gz	31114856	21600476	26255714	370237	358030	20	4501092	0	4698343256	4580628460	4437647009	3172105199	3149443510	3079774167	461557	151	151	146	146	1	0.9	1	1	0.2	0.6	0.6	151
