fieldsample_barcode,extraction_id,original_extraction_id,extractionplate_id,extraction_row,extraction_col,extraction_conc,extraction_method,library_id,libraryplate_id,library_row,library_conc,library_method,seq_id
MFD00009,EXT-MJ019-A1,EXT-MJ019-A1,EXT00001,A,1,55.67,PowerSoil-Pro-HT,LIB-MJ050-A1,LIB00001,A,5.87675,ILLUMINA-DNA-PREP.V1,LIB-MJ050-A1_02
MFD00013,EXT-MJ019-A10,EXT-MJ019-A10,EXT00001,A,10,29.98,PowerSoil-Pro-HT,LIB-MJ050-A10,LIB00001,A,5.66373,ILLUMINA-DNA-PREP.V1,LIB-MJ050-A10_02
MFD00019,EXT-MJ019-A11,EXT-MJ019-A11,EXT00001,A,11,27.78,PowerSoil-Pro-HT,LIB-MJ050-A11,LIB00001,A,3.94958,ILLUMINA-DNA-PREP.V1,LIB-MJ050-A11_02
MFD00007,EXT-MJ019-A12,EXT-MJ019-A12,EXT00001,A,12,1.55,PowerSoil-Pro-HT,LIB-MJ050-A12,LIB00001,A,4.2904,ILLUMINA-DNA-PREP.V1,LIB-MJ050-A12_02
MFD00083,EXT-MJ019-A2,EXT-MJ019-A2,EXT00001,A,2,14.86,PowerSoil-Pro-HT,LIB-MJ050-A2,LIB00001,A,3.92201,ILLUMINA-DNA-PREP.V1,LIB-MJ050-A2_02
MFD00068,EXT-MJ019-A3,EXT-MJ019-A3,EXT00001,A,3,16.84,PowerSoil-Pro-HT,LIB-MJ050-A3,LIB00001,A,5.4031,ILLUMINA-DNA-PREP.V1,LIB-MJ050-A3_02
MFD00025,EXT-MJ019-A4,EXT-MJ019-A4,EXT00001,A,4,35.75,PowerSoil-Pro-HT,LIB-MJ050-A4,LIB00001,A,5.30286,ILLUMINA-DNA-PREP.V1,LIB-MJ050-A4_02
MFD00107,EXT-MJ019-A5,EXT-MJ019-A5,EXT00001,A,5,40.03,PowerSoil-Pro-HT,LIB-MJ050-A5,LIB00001,A,4.68386,ILLUMINA-DNA-PREP.V1,LIB-MJ050-A5_02
MFD00152,EXT-MJ019-A6,EXT-MJ019-A6,EXT00001,A,6,13.95,PowerSoil-Pro-HT,LIB-MJ050-A6,LIB00001,A,5.50836,ILLUMINA-DNA-PREP.V1,LIB-MJ050-A6_02
MFD00021,EXT-MJ019-A7,EXT-MJ019-A7,EXT00001,A,7,41.59,PowerSoil-Pro-HT,LIB-MJ050-A7,LIB00001,A,6.50828,ILLUMINA-DNA-PREP.V1,LIB-MJ050-A7_02
MFD00121,EXT-MJ019-A8,EXT-MJ019-A8,EXT00001,A,8,13.86,PowerSoil-Pro-HT,LIB-MJ050-A8,LIB00001,A,5.38305,ILLUMINA-DNA-PREP.V1,LIB-MJ050-A8_02
MFD00049,EXT-MJ019-A9,EXT-MJ019-A9,EXT00001,A,9,40.48,PowerSoil-Pro-HT,LIB-MJ050-A9,LIB00001,A,5.12242,ILLUMINA-DNA-PREP.V1,LIB-MJ050-A9_02
MFD00052,EXT-MJ019-B1,EXT-MJ019-B1,EXT00001,B,1,13.67,PowerSoil-Pro-HT,LIB-MJ050-B1,LIB00001,B,4.80916,ILLUMINA-DNA-PREP.V1,LIB-MJ050-B1_02
MFD00048,EXT-MJ019-B10,EXT-MJ019-B10,EXT00001,B,10,13.85,PowerSoil-Pro-HT,LIB-MJ050-B10,LIB00001,B,4.31296,ILLUMINA-DNA-PREP.V1,LIB-MJ050-B10_02
MFD00079,EXT-MJ019-B11,EXT-MJ019-B11,EXT00001,B,11,119.48,PowerSoil-Pro-HT,LIB-MJ050-B11,LIB00001,B,4.58863,ILLUMINA-DNA-PREP.V1,LIB-MJ050-B11_02
