study	submitted_id	internal_lib_name	genome_acc	wgs_acc	biosample	ena_taxonomy
PRJEB58634	MFD10113.bin.2.41	MFD10113.bin.2.41	GCA_963695025	CAVOFQ010000000	SAMEA114835529	uncultured Actinomycetes bacterium
PRJEB58634	MFD09964.bin.1.83	MFD09964.bin.1.83	GCA_963695075	CAVOFR010000000	SAMEA114833673	uncultured Acidimicrobiales bacterium
PRJEB58634	MFD10113.bin.3.55	MFD10113.bin.3.55	GCA_963695055	CAVOFS010000000	SAMEA114835623	uncultured Actinomycetota bacterium
PRJEB58634	MFD09964.bin.1.74	MFD09964.bin.1.74	GCA_963695095	CAVOFT010000000	SAMEA114833654	uncultured bacterium
PRJEB58634	MFD10113.bin.2.3	MFD10113.bin.2.3	GCA_963695035	CAVOFU010000000	SAMEA114835504	uncultured Chitinophagaceae bacterium
PRJEB58634	MFD09964.bin.1.38	MFD09964.bin.1.38	GCA_963695085	CAVOFV010000000	SAMEA114833607	uncultured Gammaproteobacteria bacterium
PRJEB58634	MFD10113.bin.2.199	MFD10113.bin.2.199	GCA_963695045	CAVOFW010000000	SAMEA114835475	uncultured Actinomycetota bacterium
PRJEB58634	MFD09964.bin.1.60	MFD09964.bin.1.60	GCA_963695115	CAVOFX010000000	SAMEA114833630	uncultured Microthrixaceae bacterium
PRJEB58634	MFD10113.bin.2.28	MFD10113.bin.2.28	GCA_963695125	CAVOFY010000000	SAMEA114835501	uncultured Actinomycetota bacterium
PRJEB58634	MFD09964.bin.2.116	MFD09964.bin.2.116	GCA_963695065	CAVOFZ010000000	SAMEA114833710	uncultured cyanobacterium
PRJEB58634	MFD09964.bin.1.275	MFD09964.bin.1.275	GCA_963695135	CAVOGA010000000	SAMEA114833505	uncultured Gammaproteobacteria bacterium
PRJEB58634	MFD10113.bin.2.197	MFD10113.bin.2.197	GCA_963695145	CAVOGB010000000	SAMEA114835470	Ilumatobacteraceae bacterium
PRJEB58634	MFD09964.bin.1.117	MFD09964.bin.1.117	GCA_963695105	CAVOGC010000000	SAMEA114833411	uncultured Gammaproteobacteria bacterium
PRJEB58634	MFD09964.bin.1.29	MFD09964.bin.1.29	GCA_963695155	CAVOGD010000000	SAMEA114833521	uncultured Gammaproteobacteria bacterium
PRJEB58634	MFD09964.bin.1.336	MFD09964.bin.1.336	GCA_963695195	CAVOGE010000000	SAMEA114833561	uncultured Chloroflexia bacterium
PRJEB58634	MFD10113.bin.2.205	MFD10113.bin.2.205	GCA_963695165	CAVOGF010000000	SAMEA114835489	uncultured Chitinophagaceae bacterium
PRJEB58634	MFD10113.bin.2.47	MFD10113.bin.2.47	GCA_963695175	CAVOGG010000000	SAMEA114835538	uncultured Actinomycetota bacterium
PRJEB58634	MFD09964.bin.1.312	MFD09964.bin.1.312	GCA_963695185	CAVOGH010000000	SAMEA114833550	uncultured Gemmatimonadales bacterium
PRJEB58634	MFD10113.bin.2.125	MFD10113.bin.2.125	GCA_963695205	CAVOGI010000000	SAMEA114835399	uncultured Actinomycetota bacterium
PRJEB58634	MFD09779.bin.2.185	MFD09779.bin.2.185	GCA_963695405	CAVOGJ010000000	SAMEA114832856	uncultured Planctomycetales bacterium
PRJEB58634	MFD09779.bin.3.322	MFD09779.bin.3.322	GCA_963695395	CAVOGK010000000	SAMEA114833194	uncultured Thermoleophilia bacterium
PRJEB58634	MFD09964.bin.2.169	MFD09964.bin.2.169	GCA_963695415	CAVOGL010000000	SAMEA114833806	uncultured Chloroflexia bacterium
PRJEB58634	MFD09779.bin.3.249	MFD09779.bin.3.249	GCA_963695465	CAVOGM010000000	SAMEA114833180	uncultured Gammaproteobacteria bacterium
PRJEB58634	MFD09779.bin.2.82	MFD09779.bin.2.82	GCA_963695455	CAVOGN010000000	SAMEA114833120	uncultured Gammaproteobacteria bacterium
PRJEB58634	MFD09779.bin.2.195	MFD09779.bin.2.195	GCA_963695485	CAVOGO010000000	SAMEA114832877	uncultured Gammaproteobacteria bacterium
PRJEB58634	MFD09779.bin.3.441	MFD09779.bin.3.441	GCA_963695425	CAVOGP010000000	SAMEA114833223	uncultured Alphaproteobacteria bacterium
PRJEB58634	MFD09779.bin.2.97	MFD09779.bin.2.97	GCA_963695515	CAVOGQ010000000	SAMEA114833144	uncultured delta proteobacterium
PRJEB58634	MFD09779.bin.2.16	MFD09779.bin.2.16	GCA_963695555	CAVOGR010000000	SAMEA114832802	uncultured Gemmatimonadales bacterium
PRJEB58634	MFD09964.bin.2.149	MFD09964.bin.2.149	GCA_963695575	CAVOGS010000000	SAMEA114833758	uncultured Chloroflexia bacterium
PRJEB58634	MFD09779.bin.2.200	MFD09779.bin.2.200	GCA_963695535	CAVOGT010000000	SAMEA114832899	uncultured Chloroflexia bacterium
PRJEB58634	MFD09964.bin.2.127	MFD09964.bin.2.127	GCA_963695525	CAVOGU010000000	SAMEA114833722	uncultured Ignavibacteria bacterium
PRJEB58634	MFD09964.bin.2.154	MFD09964.bin.2.154	GCA_963695445	CAVOGV010000000	SAMEA114833774	uncultured Gammaproteobacteria bacterium
PRJEB58634	MFD09779.bin.2.170	MFD09779.bin.2.170	GCA_963695565	CAVOGW010000000	SAMEA114832823	uncultured Planctomycetales bacterium
PRJEB58634	MFD09964.bin.2.14	MFD09964.bin.2.14	GCA_963695505	CAVOGX010000000	SAMEA114833740	uncultured Chloroflexia bacterium
PRJEB58634	MFD00392.bin.1.337	MFD00392.bin.1.337	GCA_963695675	CAVOGY010000000	SAMEA114808598	uncultured Solirubrobacterales bacterium
PRJEB58634	MFD00125.bin.2.98	MFD00125.bin.2.98	GCA_963695695	CAVOGZ010000000	SAMEA114808581	Candidatus Dormiibacterota bacterium
PRJEB58634	MFD09964.bin.2.157	MFD09964.bin.2.157	GCA_963695475	CAVOHA010000000	SAMEA114833783	Ilumatobacteraceae bacterium
PRJEB58634	MFD00392.bin.1.411	MFD00392.bin.1.411	GCA_963695705	CAVOHB010000000	SAMEA114808603	uncultured Actinomycetota bacterium
PRJEB58634	MFD00008.bin.1.84	MFD00008.bin.1.84	GCA_963695645	CAVOHC010000000	SAMEA114808107	uncultured Actinomycetota bacterium
PRJEB58634	MFD00392.bin.2.118	MFD00392.bin.2.118	GCA_963695595	CAVOHD010000000	SAMEA114808620	uncultured Solirubrobacterales bacterium
PRJEB58634	MFD10113.bin.2.144	MFD10113.bin.2.144	GCA_963695585	CAVOHE010000000	SAMEA114835413	uncultured Actinomycetota bacterium
PRJEB58634	MFD00125.bin.2.15	MFD00125.bin.2.15	GCA_963695685	CAVOHF010000000	SAMEA114808563	uncultured Acidobacteriaceae bacterium
PRJEB58634	MFD00392.bin.1.305	MFD00392.bin.1.305	GCA_963695655	CAVOHG010000000	SAMEA114808595	uncultured Acidobacteriota bacterium
