study	submitted_id	internal_lib_name	genome_acc	wgs_acc	biosample	ncbi_taxonomy
PRJNA1071982	MFD13461_ilm_asm_bin19	LIB-MJ413-B11_01.19	GCA_049657445.1	JBASNQ000000000	SAMN40012083	Acetivibrionales bacterium
PRJNA1071982	MFD13457_ilm_asm_bin3	LIB-MJ413-F11_01.3	GCA_049652085.1	JBASDI000000000	SAMN40012353	Acetivibrionales bacterium
PRJNA1071982	MFD13477_ilm_asm_bin3	LIB-MJ413-H8_01.3	GCA_049274205.1	JBASSG000000000	SAMN40012580	Acetivibrionales bacterium
PRJNA1071982	MFD00132_ilm_asm_bin2	LIB-MJ054-G6_03.2	GCA_049284215.1	JBAPXM000000000	SAMN40007702	Acetobacteraceae bacterium
PRJNA1071982	MFD05764_ilm_asm_bin82	LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.82	GCA_049792535.1	JBARAZ000000000	SAMN40011126	Acetobacteraceae bacterium
PRJNA1071982	MFD05722_ilm_asm_bin16	LIB-MJ177-D8_03.16	GCA_049591635.1	JBAWFF000000000	SAMN40008797	Acetobacteraceae bacterium
PRJNA1071982	MFD05776_ilm_asm_bin8	LIB-MJ228-E7_01.8	GCA_049586975.1	JBAVDA000000000	SAMN40009260	Acetobacteraceae bacterium
PRJNA1071982	MFD04887_ilm_asm_bin7	LIB-MJ254-F4_02.7	GCA_049583485.1	JBAUVY000000000	SAMN40009439	Acetobacteraceae bacterium
PRJNA1071982	MFD13457_ilm_asm_bin24	LIB-MJ413-F11_01.24	GCA_049652145.1	JBASDL000000000	SAMN40012350	Acetomicrobium sp.
PRJNA1071982	MFD13480_ilm_asm_bin5	LIB-MJ413-E8_01.5	GCA_049652625.1	JBASEP000000000	SAMN40012320	Acetomicrobium sp.
PRJNA1071982	MFD13489_ilm_asm_bin70	LIB-MJ413-D7_01.70	GCA_049654505.1	JBASHY000000000	SAMN40012231	Acetomicrobium sp.
PRJNA1071982	MFD13465_ilm_asm_bin31	LIB-MJ413-E10_01.31	GCA_049653565.1	JBASGN000000000	SAMN40012268	Acetomicrobium sp.
PRJNA1071982	MFD13458_ilm_asm_bin8	LIB-MJ413-E11_01.8	GCA_049653205.1	JBASFV000000000	SAMN40012288	Acetomicrobium sp.
